ons_id,constituency_name,region_name,country_name,constituency_type,time_recorded,result,party_abbreviation,party_name,title,firstname,surname,middlenames,mnis_id,gender,candidate_type,old_constituency
E14001291,Honiton and Sidmouth,South West,England,County,7/5/24 6:44,LD gain from Con,LD,Liberal Democrat,,Richard,Foord,John,4942,Male,Re-elected Member,Tiverton and Honiton
E14001292,Hornchurch and Upminster,London,England,Borough,7/5/24 5:14,Con hold,Con,Conservative,,Julia,Lopez,,4647,Female,Re-elected Member,Hornchurch and Upminster
E14001293,Hornsey and Friern Barnet,London,England,Borough,7/5/24 5:15,Lab hold,Lab,Labour,,Catherine,West,,4523,Female,Re-elected Member,Hornsey and Wood Green
E14001294,Horsham,South East,England,County,7/5/24 6:27,LD gain from Con,LD,Liberal Democrat,,John,Milne,Laurence,,Male,New member,
E14001295,Houghton and Sunderland South,North East,England,County,7/4/24 23:30,Lab hold,Lab,Labour,,Bridget,Phillipson,Maeve,4046,Female,Re-elected Member,Houghton and Sunderland South
E14001296,Hove and Portslade,South East,England,Borough,7/5/24 6:12,Lab hold,Lab,Labour,,Peter,Kyle,,4505,Male,Re-elected Member,Hove
E14001297,Huddersfield,Yorkshire and The Humber,England,Borough,7/5/24 6:09,Lab hold,Lab,Labour,,Harpreet,Uppal,Kaur,,Female,New member,
E14001298,Huntingdon,East of England,England,County,7/5/24 4:24,Con hold,Con,Conservative,,Ben,Obese-Jecty,,,Male,New member,
E14001299,Hyndburn,North West,England,County,7/5/24 3:58,Lab gain from Con,Lab,Labour,,Sarah,Smith,Madeleine Webster,,Female,New member,
E14001300,Ilford North,London,England,Borough,7/5/24 5:06,Lab hold,Lab,Labour,,Wes,Streeting,,4504,Male,Re-elected Member,Ilford North
E14001301,Ilford South,London,England,Borough,7/5/24 5:21,Lab hold,Lab,Labour,,Jas,Athwal,,,Male,New member,
S14000093,Inverclyde and Renfrewshire West,Scotland,Scotland,County,7/5/24 5:50,Lab gain from SNP,Lab,Labour,,Martin,McCluskey,,,Male,New member,
E14001302,Ipswich,East of England,England,Borough,7/5/24 4:27,Lab gain from Con,Lab,Labour and Co-operative,,Jack,Abbott,Simon,,Male,New member,
E14001303,Isle of Wight East,South East,England,County,7/5/24 5:57,Con hold,Con,Conservative,,Joe,Robertson,Paul James,,Male,New member,
E14001304,Isle of Wight West,South East,England,County,7/5/24 5:59,Lab gain from Con,Lab,Labour,,Richard,Quigley,Michael,,Male,New member,
E14001305,Islington North,London,England,Borough,7/5/24 5:23,Ind gain from Lab,Ind,Independent,,Jeremy,Corbyn,,185,Male,Re-elected Member,Islington North
E14001306,Islington South and Finsbury,London,England,Borough,7/5/24 5:25,Lab hold,Lab,Labour,,Emily,Thornberry,,1536,Female,Re-elected Member,Islington South and Finsbury
E14001307,Jarrow and Gateshead East,North East,England,Borough,7/5/24 1:56,Lab hold,Lab,Labour,,Kate,Osborne,,4783,Female,Re-elected Member,Jarrow
E14001308,Keighley and Ilkley,Yorkshire and The Humber,England,County,7/5/24 6:12,Con hold,Con,Conservative,,Robbie,Moore,,4861,Male,Re-elected Member,Keighley
E14001309,Kenilworth and Southam,West Midlands,England,County,7/5/24 5:09,Con hold,Con,Conservative,Sir,Jeremy,Wright,Paul,1560,Male,Re-elected Member,Kenilworth and Southam
E14001310,Kensington and Bayswater,London,England,Borough,7/5/24 5:28,Lab hold,Lab,Labour,,Joe,Powell,,,Male,New member,
E14001311,Kettering,East Midlands,England,County,7/5/24 6:42,Lab gain from Con,Lab,Labour,,Rosie,Wrighting,,,Female,New member,
S14000110,Kilmarnock and Loudoun,Scotland,Scotland,County,7/5/24 2:56,Lab gain from SNP,Lab,Labour,,Lillian,Jones,,,Female,New member,
E14001312,Kingston and Surbiton,London,England,Borough,7/5/24 6:52,LD hold,LD,Liberal Democrat,,Ed,Davey,,188,Male,Re-elected Member,Kingston and Surbiton
